City	Date	Date	Mo=W+M	65+	W	M	SSC	DIS offensife(1,2,3 etc) non-offensive(0)	TOS time of the season	T	Td	AT	T-AT
KHB	20080620	20.06.2008	18	13	11	7	6	0	51	24,8	15,4	31,2	6,4
KHB	20080621	21.06.2008	23	17	14	9	1	0	52	24,6	15,0	30,8	6,2
KHB	20080622	22.06.2008	11	7	6	5	1	0	53	29	13,7	34,5	5,5
KHB	20080623	23.06.2008	28	17	13	15	0	0	54	31,4	13,2	36,7	5,3
KHB	20080624	24.06.2008	23	7	9	14	3	1	55	32,8	13,9	38,4	5,6
KHB	20080625	25.06.2008	27	14	12	15	7	0	56	30,6	5,1	33,6	3,0
KHB	20080626	26.06.2008	24	14	9	15	3	1	57	34,5	13,4	39,9	5,4
KHB	20080627	27.06.2008	23	12	8	15	4	0	58	19,6	15,0	25,8	6,2
KHB	20080628	28.06.2008	15	9	6	9	4	0	59	21,3	13,7	26,9	5,6
KHB	20080629	29.06.2008	15	9	7	8	1	0	60	27,7	8,6	31,4	3,7
KHB	20080630	30.06.2008	17	7	7	10	3	1	61	32,5	12,7	37,6	5,1
KHB	20080701	01.07.2008	25	10	7	18	3	2	62	33,8	16,2	40,5	6,7
KHB	20080702	02.07.2008	21	10	6	15	3	3	63	29,3	17,5	36,7	7,4
KHB	20080703	03.07.2008	19	8	8	11	4	0	64	21,9	21,4	31,8	9,9
KHB	20080704	04.07.2008	18	9	6	12	4	0	65	24,7	20,8	34,2	9,5
KHB	20080705	05.07.2008	24	10	9	15	66	1	66	28,4	22,4	39,0	10,6
KHB	20080706	06.07.2008	17	9	5	12	66	2	67	29,5	22,5	40,1	10,6
KHB	20080707	07.07.2008	27	13	13	14	6	0	68	26	17,6	33,5	7,5
KHB	20080708	08.07.2008	20	11	8	12	1	0	69	30,3	14,4	36,2	5,9
KHB	20080709	09.07.2008	13	5	3	10	1	0	70	28,3	16,6	35,3	7,0
KHB	20080710	10.07.2008	17	12	8	9	3	1	71	27,2	12,8	32,4	5,2
KHB	20080711	11.07.2008	21	11	9	12	1	0	72	29,5	12,0	34,3	4,8
KHB	20080712	12.07.2008	28	14	13	15	3	1	73	32,2	18,0	39,9	7,7
KHB	20080713	13.07.2008	19	8	8	11	3	2	74	32,1	16,8	39,1	7,0
KHB	20080714	14.07.2008	29	15	17	12	6	0	75	26,9	22,9	37,8	10,9
KHB	20080715	15.07.2008	21	7	8	13	1	0	76	32,1	17,2	39,4	7,3
KHB	20080716	16.07.2008	27	19	13	14	6	0	77	27,1	18,7	35,3	8,2
KHB	20080717	17.07.2008	24	14	13	11	5	0	78	17,3	17,3	24,7	7,4
KHB	20080718	18.07.2008	14	9	2	12	1	0	79	24,3	15,5	30,7	6,4
KHB	20080719	19.07.2008	20	7	12	8	1	0	80	24,7	15,6	31,2	6,5
KHB	20080720	20.07.2008	19	12	11	8	4	0	81	24,7	19,5	33,4	8,7
KHB	20080721	21.07.2008	18	10	12	6	4	0	82	27,5	21,1	37,2	9,7
KHB	20080722	22.07.2008	14	7	3	11	1	0	83	29,6	19,0	37,9	8,3
KHB	20080723	23.07.2008	16	8	6	10	4	0	84	27,1	19,9	36,0	8,9
KHB	20080724	24.07.2008	28	15	14	14	0	0	85	28,9	17,1	36,1	7,2
KHB	20080725	25.07.2008	25	15	12	13	0	0	86	30,6	20,8	40,1	9,5
KHB	20080726	26.07.2008	19	13	8	11	3	1	87	33,2	18,2	41,0	7,8
KHB	20080727	27.07.2008	23	11	11	12	3	2	88	32,6	16,4	39,4	6,8
KHB	20080728	28.07.2008	26	15	5	21	3	3	89	30	18,8	38,2	8,2
KHB	20080729	29.07.2008	17	9	9	8	67	4	90	31,8	23,3	43,0	11,2
KHB	20080730	30.07.2008	17	8	10	7	4	0	91	24,5	22,4	35,1	10,6
KHB	20080731	31.07.2008	17	11	10	7	4	0	92	24,3	21,6	34,3	10,0
KHB	20080801	01.08.2008	19	11	13	6	6	0	93	27,8	20,6	37,1	9,3
KHB	20080802	02.08.2008	22	12	12	10	4	0	94	21,4	20,4	30,6	9,2
KHB	20080803	03.08.2008	17	10	8	9	4	0	95	22,8	19,0	31,2	8,4
KHB	20080804	04.08.2008	15	7	6	9	6	0	96	27,1	18,7	35,3	8,2
KHB	20080805	05.08.2008	24	14	15	9	4	0	97	25,7	21,8	35,9	10,2
KHB	20080806	06.08.2008	19	9	5	14	6	0	98	27,8	19,3	36,3	8,5
KHB	20080807	07.08.2008	18	10	7	11	1	0	99	27,5	14,9	33,6	6,1
KHB	20080808	08.08.2008	16	7	7	9	1	0	100	25,4	14,5	31,3	5,9
KHB	20080809	09.08.2008	28	13	9	19	6	0	101	26,1	16,4	33,0	6,9
KHB	20080810	10.08.2008	16	7	6	10	4	0	102	25,6	22,1	36,0	10,4
KHB	20080811	11.08.2008	21	13	13	8	66	1	103	27,9	22,1	38,3	10,4
KHB	20080812	12.08.2008	21	10	9	12	4	0	104	25	16,7	32,0	7,0
KHB	20080813	13.08.2008	22	11	11	11	1	0	105	27,4	16,4	34,3	6,9
KHB	20080814	14.08.2008	14	6	3	11	4	0	106	21,4	16,8	28,5	7,1
KHB	20080815	15.08.2008	14	7	4	10	4	0	107	22,2	14,8	28,3	6,1
KHB	20080816	16.08.2008	17	12	5	12	1	0	108	23,1	13,6	28,6	5,5
KHB	20080817	17.08.2008	13	9	9	4	5	0	109	18,2	18,2	26,1	7,9
KHB	20080818	18.08.2008	16	7	6	10	4	0	110	23,8	18,2	31,7	7,9
KHB	20080819	19.08.2008	14	5	7	7	1	0	111	24,1	10,4	28,4	4,3
KHB	20080820	20.08.2008	13	3	5	8	1	0	112	24,4	13,3	29,8	5,4
KHB	20080821	21.08.2008	21	11	9	12	1	0	113	26,8	18,4	34,8	8,0
KHB	20080822	22.08.2008	18	11	5	13	1	0	114	27,6	15,9	34,2	6,6
KHB	20080823	23.08.2008	24	11	14	10	1	0	115	22,4	9,2	26,3	3,9
KHB	20080824	24.08.2008	23	13	11	12	1	0	116	19,9	10,9	24,4	4,5
KHB	20080825	25.08.2008	21	13	12	9	4	0	117	20,5	14,6	26,5	6,0
KHB	20080826	26.08.2008	18	13	8	10	4	0	118	22,3	14,4	28,2	5,9
KHB	20080827	27.08.2008	19	11	6	13	1	0	119	27,1	16,1	33,8	6,7
KHB	20080828	28.08.2008	15	8	9	6	3	1	120	29,1	12,5	34,1	5,0
KHB	20080829	29.08.2008	16	9	6	10	4	0	121	20,3	19,1	28,7	8,4
KHB	20080830	30.08.2008	20	11	12	8	4	0	122	24,7	18,2	32,6	7,9
KHB	20080831	31.08.2008	21	12	10	11	4	0	123	24,9	19,9	33,8	8,9
KHB	20080901	01.09.2008	21	10	10	11	4	0	124	20,4	18,9	28,7	8,3
KHB	20080902	02.09.2008	25	16	11	14	6	0	125	23,9	16,9	31,0	7,1
KHB	20080903	03.09.2008	24	10	7	17	1	0	126	23,6	11,9	28,4	4,8
KHB	20080904	04.09.2008	18	11	7	11	1	0	127	23,7	11,4	28,4	4,7
KHB	20080905	05.09.2008	20	8	10	10	1	0	128	25,7	11,8	30,5	4,8
KHB	20080906	06.09.2008	16	9	8	8	1	0	129	26,2	17,0	33,4	7,2
KHB	20080907	07.09.2008	22	13	13	9	1	0	130	23,1	12,7	28,3	5,2
KHB	20080908	08.09.2008	20	12	7	13	1	0	131	22,7	5,6	25,8	3,1
KHB	20080909	09.09.2008	20	9	8	12	1	0	132	20,9	11,5	25,6	4,7
KHB	20080910	10.09.2008	15	9	7	8	4	0	133	19,1	17,9	26,8	7,7
KHB	20080911	11.09.2008	16	7	6	10	4	0	134	23,1	14,4	29,0	5,9
KHB	20080912	12.09.2008	15	12	8	7	4	0	135	22,1	12,6	27,2	5,1
KHB	20080913	13.09.2008	14	8	6	8	4	0	136	19,6	11,9	24,5	4,9
KHB	20080914	14.09.2008	24	13	14	10	1	0	137	23,5	6,3	26,7	3,2
KHB	20080915	15.09.2008	15	7	6	9	1	0	138	22,5	8,6	26,3	3,8
KHB	20080916	16.09.2008	23	12	10	13	7	0	139	19	7,1	22,4	3,4
KHB	20080917	17.09.2008	20	14	10	10	1	0	140	17,2	0,8	19,8	2,6
KHB	20080918	18.09.2008	22	13	13	9	5	0	141	8,3	8,3	12,1	3,8
KHB	20080919	19.09.2008	13	8	6	7	1	0	142	17,9	8,5	21,7	3,8
KHB	20080920	20.09.2008	23	12	9	14	1	0	143	24,2	10,8	28,6	4,4
KHB	20080921	21.09.2008	23	6	10	13	7	0	144	17,7	-2,6	20,4	2,7
KHB	20080922	22.09.2008	22	7	7	15	7	0	145	16,9	5,8	20,1	3,2
KHB	20080923	23.09.2008	21	10	9	12	5	0	146	9,7	3,0	12,5	2,8
KHB	20080924	24.09.2008	22	17	10	12	2	0	147	12,7	-6,3	16,0	3,3
KHB	20080925	25.09.2008	27	15	13	14	7	0	148	13,3	4,2	16,2	2,9
KHB	20080926	26.09.2008	17	9	6	11	5	0	149	10	5,8	13,2	3,2
KHB	20080927	27.09.2008	28	13	12	16	2	0	150	12,9	4,6	15,9	3,0
KHB	20080928	28.09.2008	22	12	12	10	0	0	151	14,5	-1,2	17,2	2,7
KHB	20080929	29.09.2008	21	11	13	8	1	0	152	16,1	-0,6	18,7	2,6
KHB	20080930	30.09.2008	18	11	12	6	1	0	153	15,1	0,1	17,7	2,6
KHB	20090501	01.05.2009	25	12	8	17	1	0	1	17,8	-2,3	20,5	2,7
KHB	20090502	02.05.2009	23	8	8	15	4	0	2	13,3	8,0	17,0	3,7
KHB	20090503	03.05.2009	32	17	12	20	6	0	3	21,6	6,5	24,9	3,3
KHB	20090504	04.05.2009	18	10	6	12	1	0	4	15,9	-7,1	19,3	3,4
KHB	20090505	05.05.2009	16	8	3	13	1	0	5	16,1	-3,0	18,9	2,8
KHB	20090506	06.05.2009	21	16	16	5	7	0	6	23,1	0,5	25,7	2,6
KHB	20090507	07.05.2009	18	10	8	10	7	0	7	23,7	1,1	26,3	2,6
KHB	20090508	08.05.2009	20	11	12	8	1	0	8	17	-11,6	21,8	4,8
KHB	20090509	09.05.2009	25	15	7	18	1	0	9	14,1	-0,5	16,7	2,6
KHB	20090510	10.05.2009	10	4	5	5	3	1	10	19	-8,0	22,6	3,6
KHB	20090511	11.05.2009	30	15	16	14	3	2	11	22	-4,5	24,9	2,9
KHB	20090512	12.05.2009	20	9	10	10	7	0	12	14,8	7,5	18,3	3,5
KHB	20090513	13.05.2009	18	6	9	9	5	0	13	8,6	3,4	11,5	2,9
KHB	20090514	14.05.2009	17	9	8	9	2	0	14	13,1	-2,1	15,8	2,7
KHB	20090515	15.05.2009	13	5	3	10	1	0	15	19,6	0,9	22,2	2,6
KHB	20090516	16.05.2009	22	13	9	13	3	1	16	24,6	7,0	28,0	3,4
KHB	20090517	17.05.2009	15	12	6	9	1	0	17	20,8	7,4	24,3	3,5
KHB	20090518	18.05.2009	25	16	13	12	1	0	18	19,7	1,0	22,3	2,6
KHB	20090519	19.05.2009	19	7	7	12	4	0	19	16,2	6,3	19,5	3,3
KHB	20090520	20.05.2009	14	9	6	8	3	1	20	25,4	-0,9	28,0	2,6
KHB	20090521	21.05.2009	19	8	5	14	3	2	21	30,7	8,7	34,4	3,7
KHB	20090522	22.05.2009	18	12	8	10	3	3	22	23,5	9,0	27,4	3,9
KHB	20090523	23.05.2009	21	10	4	17	3	4	23	24,9	4,8	27,8	2,9
KHB	20090524	24.05.2009	21	13	6	15	3	5	24	23,7	4,8	26,6	2,9
KHB	20090525	25.05.2009	24	15	9	15	7	0	25	27	8,1	30,6	3,6
KHB	20090526	26.05.2009	23	11	10	13	3	0	26	24,5	0,0	27,1	2,6
KHB	20090527	27.05.2009	24	10	12	12	1	0	27	19,4	6,1	22,6	3,2
KHB	20090528	28.05.2009	16	13	10	6	1	0	28	20,8	4,0	23,7	2,9
KHB	20090529	29.05.2009	12	6	9	3	3	1	29	24,1	9,1	28,0	3,9
KHB	20090530	30.05.2009	24	14	9	15	1	0	30	20,2	5,7	23,3	3,1
KHB	20090531	31.05.2009	21	9	9	12	4	0	31	14,5	12,7	19,7	5,2
KHB	20090601	01.06.2009	14	7	4	10	5	0	32	11,6	10,2	15,9	4,3
KHB	20090602	02.06.2009	19	8	8	11	4	0	33	18,2	8,8	22,0	3,8
KHB	20090603	03.06.2009	19	11	9	10	5	0	34	14,1	13,3	19,6	5,5
KHB	20090604	04.06.2009	22	11	13	9	5	0	35	13,3	12,5	18,4	5,1
KHB	20090605	05.06.2009	25	14	12	13	1	0	36	21,4	12,2	26,4	5,0
KHB	20090606	06.06.2009	20	10	6	14	1	0	37	23,1	10,6	27,5	4,4
KHB	20090607	07.06.2009	23	11	11	12	4	0	38	18,1	14,8	24,2	6,1
KHB	20090608	08.06.2009	15	3	6	9	6	0	39	22,7	13,1	28,0	5,3
KHB	20090609	09.06.2009	17	9	8	9	6	0	40	22,7	12,7	27,9	5,2
KHB	20090610	10.06.2009	17	10	7	10	4	0	41	23,2	15,1	29,4	6,2
KHB	20090611	11.06.2009	21	14	5	16	4	0	42	19,6	13,7	25,2	5,6
KHB	20090612	12.06.2009	20	12	10	10	4	0	43	18,2	11,4	22,9	4,7
KHB	20090613	13.06.2009	20	16	11	9	2	0	44	18,8	11,6	23,6	4,8
KHB	20090614	14.06.2009	22	13	9	13	1	0	45	19,9	7,6	23,4	3,5
KHB	20090615	15.06.2009	27	15	13	14	1	0	46	19,6	9,8	23,7	4,1
KHB	20090616	16.06.2009	29	16	12	17	4	0	47	18,5	11,3	23,2	4,7
KHB	20090617	17.06.2009	21	11	9	12	1	0	48	22,8	6,7	26,1	3,3
KHB	20090618	18.06.2009	20	9	8	12	1	0	49	22,5	12,8	27,7	5,2
KHB	20090619	19.06.2009	17	6	6	11	4	0	50	19,7	12,9	25,0	5,3
KHB	20090620	20.06.2009	25	21	14	11	4	0	51	17,4	16,3	24,3	6,9
KHB	20090621	21.06.2009	28	16	15	13	4	0	52	21,5	14,3	27,4	5,9
KHB	20090622	22.06.2009	23	10	8	15	1	0	53	23,4	13,8	29,0	5,6
KHB	20090623	23.06.2009	16	8	6	10	5	0	54	18,5	15,2	24,8	6,3
KHB	20090624	24.06.2009	25	12	11	14	5	0	55	16,7	14,5	22,7	6,0
KHB	20090625	25.06.2009	30	14	17	13	5	0	56	16,1	14,6	22,1	6,0
KHB	20090626	26.06.2009	23	12	8	15	5	0	57	19,2	14,1	25,0	5,8
KHB	20090627	27.06.2009	23	13	12	11	4	0	58	21	14,4	26,9	5,9
KHB	20090628	28.06.2009	19	12	7	12	0	0	59	17,5	16,0	24,2	6,7
KHB	20090629	29.06.2009	22	6	6	16	4	0	60	20,9	17,5	28,4	7,5
KHB	20090630	30.06.2009	11	8	7	4	0	0	61	17,6	16,8	24,7	7,1
KHB	20090701	01.07.2009	13	7	4	9	4	0	62	20,7	15,7	27,2	6,5
KHB	20090702	02.07.2009	25	11	10	15	4	0	63	21,7	14,9	27,8	6,1
KHB	20090703	03.07.2009	26	18	11	15	4	0	64	23,3	17,5	30,8	7,5
KHB	20090704	04.07.2009	15	10	8	7	1	0	65	26,8	16,7	33,8	7,0
KHB	20090705	05.07.2009	34	14	16	18	0	0	66	27,3	19,5	35,9	8,6
KHB	20090706	06.07.2009	17	10	9	8	0	0	67	29,3	19,4	37,9	8,6
KHB	20090707	07.07.2009	23	14	13	10	6	0	68	26,6	19,3	35,1	8,5
KHB	20090708	08.07.2009	19	14	10	9	4	0	69	24,8	16,6	31,8	7,0
KHB	20090709	09.07.2009	16	7	7	9	4	0	70	22,5	18,4	30,5	8,0
KHB	20090710	10.07.2009	17	7	10	7	5	0	71	17,6	15,1	23,9	6,3
KHB	20090711	11.07.2009	16	5	5	11	1	0	72	22,7	14,2	28,5	5,8
KHB	20090712	12.07.2009	25	13	9	16	1	0	73	25,8	16,6	32,8	7,0
KHB	20090713	13.07.2009	18	9	5	13	1	0	74	25,8	19,2	34,3	8,5
KHB	20090714	14.07.2009	14	7	5	9	4	0	75	20,2	19,5	28,9	8,7
KHB	20090715	15.07.2009	17	11	11	6	5	0	76	17,5	16,8	24,6	7,1
KHB	20090716	16.07.2009	20	10	5	15	5	0	77	20,2	13,3	25,6	5,4
KHB	20090717	17.07.2009	18	10	4	14	5	0	78	18,3	15,5	24,8	6,5
KHB	20090718	18.07.2009	19	11	13	6	4	0	79	24,1	16,6	31,1	7,0
KHB	20090719	19.07.2009	17	9	7	10	4	0	80	22,7	18,2	30,6	7,9
KHB	20090720	20.07.2009	16	8	10	6	4	0	81	23,3	17,9	31,0	7,7
KHB	20090721	21.07.2009	11	4	5	6	4	0	82	20,4	15,1	26,6	6,2
KHB	20090722	22.07.2009	24	15	10	14	4	0	83	22,3	13,5	27,8	5,5
KHB	20090723	23.07.2009	27	19	17	10	4	0	84	23,3	16,5	30,2	6,9
KHB	20090724	24.07.2009	15	6	6	9	4	0	85	23,7	20,2	32,8	9,1
KHB	20090725	25.07.2009	15	10	9	6	4	0	86	26,3	20,6	35,7	9,4
KHB	20090726	26.07.2009	21	11	12	9	4	0	87	27	21,5	37,0	10,0
KHB	20090727	27.07.2009	22	15	9	13	1	0	88	28,9	18,1	36,7	7,8
KHB	20090728	28.07.2009	23	9	14	9	4	0	89	20,8	20,8	30,3	9,5
KHB	20090729	29.07.2009	15	8	6	9	4	0	90	25,7	22,0	36,0	10,3
KHB	20090730	30.07.2009	23	16	15	8	4	0	91	24,7	18,5	32,7	8,0
KHB	20090731	31.07.2009	29	16	13	16	1	0	92	28,2	21,9	38,4	10,2
KHB	20090801	01.08.2009	21	10	13	8	4	0	93	26,3	24,0	38,1	11,8
KHB	20090802	02.08.2009	26	16	17	9	6	0	94	27,3	24,3	39,3	12,0
KHB	20090803	03.08.2009	15	8	5	10	4	0	95	24,1	23,1	35,2	11,1
KHB	20090804	04.08.2009	28	20	16	12	6	0	96	26,8	18,9	35,1	8,3
KHB	20090805	05.08.2009	19	8	8	11	66	1	97	28,7	23,4	40,0	11,3
KHB	20090806	06.08.2009	23	15	6	17	6	0	98	25	23,9	36,7	11,7
KHB	20090807	07.08.2009	26	15	11	15	6	0	99	28,6	22,6	39,3	10,7
KHB	20090808	08.08.2009	19	6	8	11	66	1	100	30,6	22,7	41,4	10,8
KHB	20090809	09.08.2009	17	13	7	10	67	2	101	31	24,2	42,9	11,9
KHB	20090810	10.08.2009	24	16	12	12	67	3	102	31,3	24,4	43,4	12,1
KHB	20090811	11.08.2009	32	23	22	10	67	4	103	31,1	23,8	42,7	11,6
KHB	20090812	12.08.2009	30	17	15	15	4	0	104	26	22,9	37,0	11,0
KHB	20090813	13.08.2009	21	12	9	12	4	0	105	19,2	19,2	27,7	8,5
KHB	20090814	14.08.2009	18	13	13	5	5	0	106	18,8	18,3	26,8	8,0
KHB	20090815	15.08.2009	26	20	14	12	5	0	107	18,3	16,7	25,4	7,1
KHB	20090816	16.08.2009	20	12	11	9	4	0	108	20,5	15,7	27,0	6,5
KHB	20090817	17.08.2009	19	9	6	13	1	0	109	22,5	16,2	29,3	6,8
KHB	20090818	18.08.2009	18	7	8	10	4	0	110	18,9	18,1	26,7	7,8
KHB	20090819	19.08.2009	18	11	11	7	4	0	111	23,6	18,2	31,5	7,9
KHB	20090820	20.08.2009	16	9	5	11	4	0	112	19,2	19,2	27,7	8,5
KHB	20090821	21.08.2009	19	11	8	11	4	0	113	17,8	16,9	25,0	7,2
KHB	20090822	22.08.2009	17	11	8	9	5	0	114	17,1	12,0	22,0	4,9
KHB	20090823	23.08.2009	24	12	11	13	2	0	115	19,3	10,6	23,7	4,4
KHB	20090824	24.08.2009	17	8	6	11	1	0	116	22,7	12,8	27,9	5,2
KHB	20090825	25.08.2009	22	13	7	15	1	0	117	24,2	14,0	29,9	5,7
KHB	20090826	26.08.2009	23	10	10	13	4	0	118	17,1	16,4	24,0	6,9
KHB	20090827	27.08.2009	26	12	8	18	4	0	119	22,6	15,7	29,1	6,5
KHB	20090828	28.08.2009	25	11	7	18	7	0	120	17,7	16,4	24,6	6,9
KHB	20090829	29.08.2009	27	17	14	13	5	0	121	12,8	6,6	16,1	3,3
KHB	20090830	30.08.2009	18	11	6	12	1	0	122	21,7	13,1	27,0	5,3
KHB	20090831	31.08.2009	24	17	14	10	1	0	123	23,3	13,8	28,9	5,6
KHB	20090901	01.09.2009	20	10	7	13	1	0	124	24,4	14,6	30,4	6,0
KHB	20090902	02.09.2009	13	12	8	5	1	0	125	25,2	13,7	30,8	5,6
KHB	20090903	03.09.2009	29	19	13	16	4	0	126	21,6	12,9	26,9	5,3
KHB	20090904	04.09.2009	18	15	10	8	4	0	127	21,2	17,0	28,4	7,2
KHB	20090905	05.09.2009	20	10	7	13	6	0	128	25,4	17,8	33,0	7,6
KHB	20090906	06.09.2009	16	11	11	5	4	0	129	14,2	13,2	19,6	5,4
KHB	20090907	07.09.2009	17	11	5	12	5	0	130	13,9	7,9	17,5	3,6
KHB	20090908	08.09.2009	29	16	15	14	5	0	131	12,5	6,7	15,9	3,4
KHB	20090909	09.09.2009	30	16	15	15	5	0	132	13,8	10,3	18,1	4,3
KHB	20090910	10.09.2009	27	11	11	16	1	0	133	18,3	9,6	22,4	4,1
KHB	20090911	11.09.2009	26	11	16	10	1	0	134	18,7	4,9	21,7	3,0
KHB	20090912	12.09.2009	24	10	9	15	1	0	135	20,2	8,5	24,0	3,8
KHB	20090913	13.09.2009	15	6	6	9	1	0	136	22,1	10,2	26,4	4,3
KHB	20090914	14.09.2009	24	15	12	12	1	0	137	22,8	13,3	28,2	5,4
KHB	20090915	15.09.2009	16	8	5	11	4	0	138	15,8	13,5	21,3	5,5
KHB	20090916	16.09.2009	18	9	9	9	1	0	139	16,7	4,8	19,7	3,0
KHB	20090917	17.09.2009	23	15	12	11	5	0	140	10,9	8,0	14,6	3,7
KHB	20090918	18.09.2009	22	14	10	12	5	0	141	14,2	7,9	17,8	3,6
KHB	20090919	19.09.2009	28	18	14	14	5	0	142	14	8,3	17,7	3,7
KHB	20090920	20.09.2009	18	4	6	12	0	0	143	17,2	0,7	19,8	2,6
KHB	20090921	21.09.2009	24	13	8	16	8	0	144	11,7	11,7	16,5	4,8
KHB	20090922	22.09.2009	21	12	8	13	4	0	145	16,7	9,7	20,8	4,1
KHB	20090923	23.09.2009	27	19	10	17	1	0	146	19,4	4,5	22,3	2,9
KHB	20090924	24.09.2009	20	11	13	7	4	0	147	15,9	6,1	19,1	3,2
KHB	20090925	25.09.2009	20	9	7	13	1	0	148	15,3	4,2	18,2	2,9
KHB	20090926	26.09.2009	25	15	11	14	1	0	149	16,6	6,5	19,9	3,3
KHB	20090927	27.09.2009	16	12	7	9	1	0	150	18,1	4,9	21,1	3,0
KHB	20090928	28.09.2009	17	9	6	11	4	0	151	12,7	12,7	17,9	5,2
KHB	20090929	29.09.2009	15	9	5	10	1	0	152	17,9	9,2	21,9	4,0
KHB	20090930	30.09.2009	23	14	8	15	1	0	153	19,4	6,3	22,6	3,2
KHB	20100501	01.05.2010	19	8	3	16	4	0	1	11,9	3,7	14,8	2,9
KHB	20100502	02.05.2010	14	7	4	10	1	0	2	20,5	3,9	23,3	2,8
KHB	20100503	03.05.2010	20	11	8	12	7	0	3	18,1	-3,0	20,9	2,8
KHB	20100504	04.05.2010	15	9	6	9	1	0	4	14,6	-2,2	17,3	2,7
KHB	20100505	05.05.2010	19	7	4	15	1	0	5	13,9	1,3	16,6	2,7
KHB	20100506	06.05.2010	23	10	8	15	5	0	6	7	6,4	10,3	3,3
KHB	20100507	07.05.2010	25	13	11	14	5	0	7	5,1	3,5	8,0	2,9
KHB	20100508	08.05.2010	17	11	8	9	5	0	8	6,3	0,3	9,0	2,7
KHB	20100509	09.05.2010	21	10	7	14	2	0	9	8	0,7	10,7	2,7
KHB	20100510	10.05.2010	30	16	15	15	2	0	10	11,8	3,8	14,7	2,9
KHB	20100511	11.05.2010	18	10	9	9	5	0	11	9,2	4,0	12,1	2,9
KHB	20100512	12.05.2010	21	12	10	11	1	0	12	14,6	0,4	17,2	2,6
KHB	20100513	13.05.2010	24	18	14	10	1	0	13	16,7	0,1	19,3	2,6
KHB	20100514	14.05.2010	19	10	5	14	3	1	14	22,8	2,4	25,5	2,7
KHB	20100515	15.05.2010	19	13	6	13	3	2	15	21,9	7,1	25,3	3,4
KHB	20100516	16.05.2010	20	9	8	12	1	0	16	18,7	9,0	22,6	3,9
KHB	20100517	17.05.2010	24	16	9	15	3	1	17	22,4	4,2	25,3	2,9
KHB	20100518	18.05.2010	26	15	11	15	3	2	18	26,3	1,3	28,9	2,6
KHB	20100519	19.05.2010	17	7	8	9	4	0	19	16,9	13,6	22,5	5,6
KHB	20100520	20.05.2010	21	12	4	17	4	0	20	17,8	10,5	22,2	4,4
KHB	20100521	21.05.2010	21	15	10	11	4	0	21	15,2	11,1	19,8	4,6
KHB	20100522	22.05.2010	24	14	11	13	1	0	22	24,7	11,7	29,5	4,8
KHB	20100523	23.05.2010	20	11	10	10	3	1	23	24,5	10,3	28,8	4,3
KHB	20100524	24.05.2010	24	11	9	15	1	0	24	19	9,4	23,0	4,0
KHB	20100525	25.05.2010	21	11	8	13	1	0	25	18,6	7,8	22,2	3,6
KHB	20100526	26.05.2010	24	14	10	14	1	0	26	18	7,0	21,4	3,4
KHB	20100527	27.05.2010	21	15	6	15	1	0	27	19,5	7,8	23,1	3,6
KHB	20100528	28.05.2010	25	18	15	10	1	0	28	23,3	9,6	27,4	4,1
KHB	20100529	29.05.2010	28	16	12	16	3	1	29	25,5	9,7	29,6	4,1
KHB	20100530	30.05.2010	29	15	15	14	3	2	30	25,6	8,1	29,2	3,6
KHB	20100531	31.05.2010	29	15	9	20	3	3	31	26	6,4	29,2	3,2
KHB	20100601	01.06.2010	25	16	13	12	1	0	32	22,1	7,8	25,7	3,6
KHB	20100602	02.06.2010	30	17	15	15	4	0	33	18,2	12,7	23,4	5,2
KHB	20100603	03.06.2010	19	8	9	10	1	0	34	23	8,6	26,8	3,8
KHB	20100604	04.06.2010	20	9	9	11	3	1	35	24,9	15,2	31,2	6,3
KHB	20100605	05.06.2010	19	10	8	11	3	2	36	29,2	14,1	34,9	5,7
KHB	20100606	06.06.2010	29	13	17	12	7	0	37	23,9	4,0	26,7	2,8
KHB	20100607	07.06.2010	18	7	8	10	1	0	38	22	9,3	26,0	4,0
KHB	20100608	08.06.2010	15	8	6	9	3	1	39	28,1	16,9	35,2	7,1
KHB	20100609	09.06.2010	23	8	8	15	3	2	40	24,3	6,5	27,5	3,2
KHB	20100610	10.06.2010	34	15	15	19	3	3	41	28,7	8,5	32,4	3,7
KHB	20100611	11.06.2010	26	13	14	12	3	4	42	32,1	13,0	37,3	5,2
KHB	20100612	12.06.2010	29	15	10	19	3	5	43	33,8	15,3	40,1	6,3
KHB	20100613	13.06.2010	28	17	14	14	66	6	44	28,7	18,9	37,0	8,3
KHB	20100614	14.06.2010	19	12	6	13	3	7	45	29,7	15,8	36,2	6,5
KHB	20100615	15.06.2010	23	13	11	12	3	8	46	29,7	15,7	36,2	6,5
KHB	20100616	16.06.2010	23	13	15	8	6	0	47	26,7	18,6	34,8	8,1
KHB	20100617	17.06.2010	28	15	9	19	6	0	48	25	18,6	33,1	8,1
KHB	20100618	18.06.2010	22	11	7	15	6	0	49	27,2	18,2	35,1	7,9
KHB	20100619	19.06.2010	32	19	18	14	6	0	50	30,2	18,9	38,5	8,3
KHB	20100620	20.06.2010	18	8	8	10	6	0	51	25,1	18,0	32,9	7,8
KHB	20100621	21.06.2010	14	8	7	7	4	0	52	18,6	14,5	24,6	6,0
KHB	20100622	22.06.2010	18	12	9	9	4	0	53	19,8	13,1	25,1	5,3
KHB	20100623	23.06.2010	21	14	6	15	6	0	54	24,2	16,8	31,3	7,1
